Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Precious Achiuwa,2023-10-25,24-036,TOR,,MIN,W 97-94,,24,4,9,.444,4,8,.500,0,1,.000,0,0,,.444,3,5,8,0,0,0,2,1,8,4.5,-9.5,-5,F,achiupr01
2,Precious Achiuwa,2023-10-27,24-038,TOR,@,CHI,L 103-104 (OT),,23,2,5,.400,1,2,.500,1,3,.333,3,3,1.000,.633,2,7,9,1,0,0,3,6,8,4.1,-5.1,-22,F,achiupr01
3,Precious Achiuwa,2023-10-28,24-039,TOR,,PHI,L 107-114,,18,3,10,.300,3,9,.333,0,1,.000,0,0,,.300,3,4,7,3,0,1,1,1,6,4.9,-7.4,5,F,achiupr01
4,Precious Achiuwa,2023-11-11,24-053,TOR,@,BOS,L 94-117,,19,1,5,.200,1,3,.333,0,2,.000,0,0,,.200,0,5,5,5,0,0,0,1,2,3.5,-1.1,-12,F,achiupr01
5,Precious Achiuwa,2023-11-13,24-055,TOR,,WAS,W 111-107,,19,5,8,.625,5,7,.714,0,1,.000,0,0,,.625,1,3,4,1,1,0,2,1,10,7.3,-3.3,8,F,achiupr01
6,Precious Achiuwa,2023-11-15,24-057,TOR,,MIL,L 112-128,,17,4,7,.571,3,5,.600,1,2,.500,2,2,1.000,.698,3,1,4,0,0,2,1,3,11,9.3,-1.0,-3,F,achiupr01
7,Precious Achiuwa,2023-11-17,24-059,TOR,,BOS,L 105-108,,24,2,4,.500,2,2,1.000,0,2,.000,1,2,.500,.512,0,9,9,1,2,0,1,1,5,6.6,0.5,-2,F,achiupr01
8,Precious Achiuwa,2023-11-19,24-061,TOR,,DET,W 142-113,,19,5,10,.500,3,6,.500,2,4,.500,0,2,.000,.551,3,3,6,5,0,0,0,1,12,12.3,5.6,17,F,achiupr01
9,Precious Achiuwa,2023-11-21,24-063,TOR,@,ORL,L 107-126,,15,2,4,.500,2,3,.667,0,1,.000,1,2,.500,.512,2,4,6,4,1,0,3,3,5,4.8,-2.5,-9,F,achiupr01
10,Precious Achiuwa,2023-11-24,24-066,TOR,,CHI,W 121-108,,18,3,4,.750,3,4,.750,0,0,,2,2,1.000,.820,3,4,7,4,0,3,2,0,8,12.6,14.3,-2,F,achiupr01
11,Precious Achiuwa,2023-11-26,24-068,TOR,@,CLE,L 102-105,,13,1,4,.250,0,2,.000,1,2,.500,1,4,.250,.347,0,2,2,1,1,0,0,0,4,2.7,-0.2,-15,F,achiupr01
12,Precious Achiuwa,2023-11-28,24-070,TOR,@,BRK,L 103-115,,10,0,4,.000,0,2,.000,0,2,.000,1,4,.250,.087,1,2,3,1,1,0,1,3,1,-2.2,-24.7,-2,F,achiupr01
13,Precious Achiuwa,2023-11-29,24-071,TOR,,PHO,W 112-105,,18,5,10,.500,4,9,.444,1,1,1.000,3,4,.750,.595,6,4,10,1,2,0,1,2,14,14.9,9.6,6,F,achiupr01
14,Precious Achiuwa,2023-12-01,24-073,TOR,,NYK,L 106-119,,17,4,11,.364,4,10,.400,0,1,.000,0,0,,.364,5,1,6,1,0,0,1,2,8,4.6,-11.7,-22,F,achiupr01
15,Precious Achiuwa,2023-12-06,24-078,TOR,,MIA,L 103-112,,13,4,7,.571,3,4,.750,1,3,.333,0,0,,.643,0,3,3,2,1,0,1,0,9,8.0,9.3,-4,F,achiupr01
16,Precious Achiuwa,2023-12-08,24-080,TOR,@,CHO,L 116-119,,22,7,10,.700,4,6,.667,3,4,.750,0,0,,.850,4,6,10,1,0,0,4,4,17,12.5,2.4,4,F,achiupr01
17,Precious Achiuwa,2023-12-11,24-083,TOR,@,NYK,L 130-136,,21,3,8,.375,2,4,.500,1,4,.250,2,2,1.000,.507,0,5,5,3,1,0,1,4,9,6.6,-4.3,-1,F,achiupr01
18,Precious Achiuwa,2023-12-13,24-085,TOR,,ATL,W 135-128,,17,2,5,.400,1,2,.500,1,3,.333,2,2,1.000,.595,1,6,7,1,1,2,2,0,7,7.9,-0.6,-5,F,achiupr01
19,Precious Achiuwa,2023-12-15,24-087,TOR,,ATL,L 104-125,,17,4,7,.571,4,5,.800,0,2,.000,1,2,.500,.571,0,2,2,5,0,0,0,1,9,9.0,5.8,-9,F,achiupr01
20,Precious Achiuwa,2023-12-18,24-090,TOR,,CHO,W 114-99,,18,5,9,.556,5,8,.625,0,1,.000,2,4,.500,.558,5,2,7,1,1,0,0,1,12,12.3,4.0,12,F,achiupr01
21,Precious Achiuwa,2023-12-20,24-092,TOR,,DEN,L 104-113,,25,6,10,.600,5,8,.625,1,2,.500,0,1,.000,.623,4,1,5,1,1,1,1,2,13,11.7,3.0,6,F,achiupr01
22,Precious Achiuwa,2023-12-22,24-094,TOR,@,PHI,L 111-121,,16,2,9,.222,2,7,.286,0,2,.000,0,2,.000,.202,3,3,6,1,2,0,1,2,4,1.6,-16.5,-1,F,achiupr01
23,Precious Achiuwa,2023-12-23,24-095,TOR,,UTA,L 119-126,,21,3,7,.429,3,4,.750,0,3,.000,2,2,1.000,.508,1,1,2,1,0,2,0,1,8,7.0,-5.3,-3,F,achiupr01
24,Precious Achiuwa,2023-12-27,24-099,TOR,@,WAS,W 132-102,,11,1,2,.500,1,2,.500,0,0,,1,2,.500,.521,0,1,1,0,1,1,1,0,3,2.6,-6.4,5,F,achiupr01
25,Precious Achiuwa,2023-12-29,24-101,TOR,@,BOS,L 118-120,,2,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,2,2,0,0,0,0,0,0,-0.1,-23.7,1,F,achiupr01
26,Precious Achiuwa,2024-01-01,24-104,NYK,,MIN,W 112-106,,9,0,2,.000,0,2,.000,0,0,,0,0,,.000,1,2,3,0,0,0,0,2,0,-0.9,-15.5,-3,F,achiupr01
27,Precious Achiuwa,2024-01-03,24-106,NYK,,CHI,W 116-100,,11,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,2,1,3,1,0,1,0,2,4,5.7,8.1,-16,F,achiupr01
28,Precious Achiuwa,2024-01-05,24-108,NYK,@,PHI,W 128-92,,13,2,3,.667,1,1,1.000,1,2,.500,0,0,,.833,2,1,3,0,0,1,1,0,5,5.1,4.3,10,F,achiupr01
29,Precious Achiuwa,2024-01-06,24-109,NYK,@,WAS,W 121-105,,8,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,0,0,0,0,0,0,1,2,1.3,-3.4,-8,F,achiupr01
30,Precious Achiuwa,2024-01-09,24-112,NYK,,POR,W 112-84,,20,1,9,.111,1,6,.167,0,3,.000,0,0,,.111,5,4,9,1,1,1,1,0,2,2.2,-13.1,-3,F,achiupr01
31,Precious Achiuwa,2024-01-11,24-114,NYK,@,DAL,L 124-128,,16,3,3,1.000,3,3,1.000,0,0,,1,2,.500,.902,1,5,6,0,1,0,2,4,7,5.3,-3.8,3,F,achiupr01
32,Precious Achiuwa,2024-01-13,24-116,NYK,@,MEM,W 106-94,,6,0,0,,0,0,,0,0,,0,0,,,1,0,1,0,0,1,1,0,0,0.4,-8.0,5,F,achiupr01
33,Precious Achiuwa,2024-01-15,24-118,NYK,,ORL,L 94-98,,20,2,4,.500,2,4,.500,0,0,,2,2,1.000,.615,3,2,5,1,0,1,1,0,6,7.1,1.8,-4,F,achiupr01
34,Precious Achiuwa,2024-01-17,24-120,NYK,,HOU,W 109-94,,6,0,2,.000,0,2,.000,0,0,,0,0,,.000,1,3,4,0,0,1,0,3,0,-0.3,-15.6,2,F,achiupr01
35,Precious Achiuwa,2024-01-18,24-121,NYK,,WAS,W 113-109,,9,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,0,1,1,0,1,0,0,1,2,2.6,3.0,-4,F,achiupr01
36,Precious Achiuwa,2024-01-20,24-123,NYK,,TOR,W 126-100,,25,9,10,.900,9,10,.900,0,0,,0,0,,.900,4,7,11,0,0,1,3,4,18,15.6,4.2,13,F,achiupr01
37,Precious Achiuwa,2024-01-23,24-126,NYK,@,BRK,W 108-103,,21,3,6,.500,3,5,.600,0,1,.000,0,0,,.500,4,5,9,2,0,0,0,1,6,8.3,0.3,13,F,achiupr01
38,Precious Achiuwa,2024-01-25,24-128,NYK,,DEN,W 122-84,,23,1,4,.250,1,4,.250,0,0,,0,0,,.250,6,4,10,3,0,1,0,1,2,7.4,1.6,18,F,achiupr01
39,Precious Achiuwa,2024-01-27,24-130,NYK,,MIA,W 125-109,,31,2,7,.286,2,7,.286,0,0,,0,0,,.286,3,7,10,1,1,2,0,2,4,6.4,-4.5,19,F,achiupr01
40,Precious Achiuwa,2024-01-29,24-132,NYK,@,CHO,W 113-92,*,33,4,6,.667,3,5,.600,1,1,1.000,0,0,,.750,1,4,5,0,0,1,0,4,9,7.4,-2.3,21,F,achiupr01
41,Precious Achiuwa,2024-01-30,24-133,NYK,,UTA,W 118-103,*,40,8,13,.615,8,10,.800,0,3,.000,2,2,1.000,.648,1,4,5,1,0,2,0,3,18,14.9,-2.4,14,F,achiupr01
42,Precious Achiuwa,2024-02-01,24-135,NYK,,IND,W 109-105,*,43,5,16,.313,5,13,.385,0,3,.000,2,4,.500,.338,8,8,16,0,4,2,2,4,12,11.8,-3.9,7,F,achiupr01
43,Precious Achiuwa,2024-02-03,24-137,NYK,,LAL,L 105-113,*,42,4,11,.364,4,8,.500,0,3,.000,2,2,1.000,.421,4,4,8,0,0,1,1,2,10,6.8,-6.7,-10,F,achiupr01
44,Precious Achiuwa,2024-02-06,24-140,NYK,,MEM,W 123-113,*,40,8,13,.615,7,11,.636,1,2,.500,0,0,,.654,2,3,5,3,3,1,0,2,17,18.4,2.1,-1,F,achiupr01
45,Precious Achiuwa,2024-02-08,24-142,NYK,,DAL,L 108-122,*,41,6,9,.667,5,7,.714,1,2,.500,0,0,,.722,3,13,16,3,0,1,3,5,13,12.9,-1.9,-14,F,achiupr01
46,Precious Achiuwa,2024-02-10,24-144,NYK,,IND,L 111-125,*,43,6,6,1.000,5,5,1.000,1,1,1.000,2,2,1.000,1.090,3,3,6,0,2,3,2,2,15,17.5,3.2,-12,F,achiupr01
47,Precious Achiuwa,2024-02-12,24-146,NYK,@,HOU,L 103-105,*,39,4,8,.500,4,7,.571,0,1,.000,0,1,.000,.474,9,8,17,0,0,3,3,4,8,9.8,-4.4,3,F,achiupr01
48,Precious Achiuwa,2024-02-14,24-148,NYK,@,ORL,L 100-118,*,43,8,16,.500,7,14,.500,1,2,.500,6,7,.857,.603,10,4,14,5,0,0,1,1,23,24.9,4.7,-4,F,achiupr01
49,Precious Achiuwa,2024-02-22,24-156,NYK,@,PHI,W 110-96,*,38,7,9,.778,6,7,.857,1,2,.500,3,7,.429,.745,4,7,11,2,2,1,2,3,18,18.7,4.1,15,F,achiupr01
50,Precious Achiuwa,2024-02-24,24-158,NYK,,BOS,L 102-116,*,34,4,8,.500,4,6,.667,0,2,.000,0,0,,.500,4,5,9,1,0,1,1,2,8,7.9,-4.0,-13,F,achiupr01
51,Precious Achiuwa,2024-02-26,24-160,NYK,,DET,W 113-111,*,34,2,7,.286,2,6,.333,0,1,.000,0,0,,.286,4,7,11,1,2,2,2,3,4,5.7,-8.3,9,F,achiupr01
52,Precious Achiuwa,2024-02-27,24-161,NYK,,NOP,L 92-115,*,40,4,10,.400,4,7,.571,0,3,.000,7,8,.875,.555,3,4,7,2,0,1,1,3,15,12.4,-5.1,-18,F,achiupr01
53,Precious Achiuwa,2024-02-29,24-163,NYK,,GSW,L 99-110,*,26,1,3,.333,1,2,.500,0,1,.000,1,4,.250,.315,4,4,8,1,0,2,2,2,3,3.4,-8.2,-12,F,achiupr01
54,Precious Achiuwa,2024-03-03,24-166,NYK,@,CLE,W 107-98,*,22,6,8,.750,5,7,.714,1,1,1.000,1,3,.333,.751,3,1,4,0,2,3,2,3,14,13.3,4.0,12,F,achiupr01
55,Precious Achiuwa,2024-03-05,24-168,NYK,,ATL,L 100-116,*,24,7,8,.875,7,8,.875,0,0,,1,1,1.000,.889,1,5,6,2,1,1,0,1,15,17.1,12.5,3,F,achiupr01
56,Precious Achiuwa,2024-03-08,24-171,NYK,,ORL,W 98-74,*,39,6,16,.375,4,12,.333,2,4,.500,1,2,.500,.444,3,11,14,4,2,5,3,2,15,15.7,5.3,25,F,achiupr01
